clusterName,clusterSize,f_score,PPV,AUC,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes
0,105,0.8115942028985508,0.9333333333333333,0.7666574342071856,216623,4,49,56,1,['MS4A1'],"['IGHM', 'MS4A1', 'PAX5', 'CD53', 'ARHGAP15', 'ITGA4', 'EBF1', 'COBLL1', 'ARHGAP24', 'RIPOR2']"
1,500,0.7773972602739725,0.9458333333333333,0.7269699396944023,216219,13,273,227,2,"['CD2', 'THEMIS']","['CD2', 'CD96', 'LCP1', 'CD44', 'THEMIS', 'ARHGAP15', 'ETS1', 'INPP4B']"
2,500,0.8333333333333333,0.9354838709677419,0.7899537533760036,216212,20,210,290,2,"['GNLY', 'NKG7']","['GNLY', 'NKG7', 'KLRF1', 'PTGDR', 'LCP1', 'ETS1', 'IQGAP2', 'MCTP2', 'BNC2', 'PDGFD']"
3,500,0.7611731843575418,0.9356223175965666,0.7179653150320027,216217,15,282,218,1,['FCN1'],"['FCN1', 'LCP1', 'CD44', 'ITGAX', 'ITGA4', 'S100A6', 'TCF7L2', 'ZEB2', 'RIPOR2', 'PLXDC2']"
4,500,0.7273391812865497,0.9170506912442397,0.6989583780384032,216214,18,301,199,2,"['HIF1A-AS3', 'SRGN']","['OLR1', 'HIF1A-AS3', 'SRGN', 'ITGAX', 'HSPA1B', 'HSPA1A', 'DOCK8', 'NR4A2', 'HIF1A', 'ARHGAP24']"
5,500,0.6982942430703625,0.7616279069767442,0.7618103888416146,216150,82,238,262,2,"['APBB1IP', 'TTR']","['LNCAROD', 'P2RY12', 'CSF1R', 'APBB1IP', 'TTR', 'DOCK8', 'ARHGAP15', 'APOE', 'ARHGAP24', 'PLXDC2']"
6,500,0.34090909090909094,0.3706896551724138,0.6284935994672389,216013,219,371,129,3,"['ITGAX', 'SCIN', 'LINC00278']","['OLR1', 'LNCAROD', 'ITGAX', 'APBB1IP', 'SCIN', 'LINC00278', 'APOE', 'MYO1E', 'NPL', 'ARHGAP24']"
7,500,0.23087071240105542,0.2211690363349131,0.6388600207184876,215739,493,360,140,3,"['OLR1', 'CX3CR1', 'LINC02712']","['OLR1', 'P2RY12', 'CX3CR1', 'LNCAROD', 'LINC02712', 'CSF1R', 'APBB1IP', 'DOCK8', 'HSPA1A', 'HSPA1B']"
8,500,0.5147058823529413,0.5658682634730539,0.6886647119760257,216087,145,311,189,3,"['CCDC26', 'LNCAROD', 'CX3CR1']","['CCDC26', 'LNCAROD', 'P2RY12', 'CX3CR1', 'CSF1R', 'LINC02712', 'APBB1IP', 'ARHGAP15', 'DOCK8', 'LINC02232']"
9,500,0.34163987138263663,0.3420523138832998,0.6692438676976581,215905,327,330,170,3,"['AIF1', 'CX3CR1', 'LINC02712']","['AIF1', 'P2RY12', 'CX3CR1', 'LNCAROD', 'LINC02712', 'APBB1IP', 'DOCK8', 'ARHGAP24', 'RPS24', 'TMSB10']"
10,500,0.1889736477115118,0.16552771450265755,0.7154587480113952,215133,1099,282,218,3,"['LNCAROD', 'P2RY12', 'DOCK8']","['LNCAROD', 'P2RY12', 'CX3CR1', 'CSF1R', 'APBB1IP', 'DOCK8', 'LINC02232', 'XACT', 'ARHGAP24', 'ITPR2']"
11,500,0.2610619469026549,0.2681818181818182,0.6172554293536572,215910,322,382,118,3,"['LINC02642', 'LINC02712', 'P2RY12']","['LINC02642', 'LINC02712', 'P2RY12', 'CX3CR1', 'CSF1R', 'LNCAROD', 'APBB1IP', 'DOCK8', 'ARHGAP24', 'ITPR2']"
12,500,0.7098765432098765,0.9246231155778895,0.6839653150320026,216217,15,316,184,2,"['MRC1', 'F13A1']","['MRC1', 'CD163', 'F13A1', 'CSF1R', 'RNASE1', 'IQGAP2', 'RBM47', 'COLEC12', 'MAF', 'ARHGAP24']"
