ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Clustering_Reference	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Composed_primarily_of	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	TI %	TYPE	I 'subcluster of' SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	>AI oboInOwl:hasDbXref	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI 'exemplar data of' some %	TI 'composed primarily of' some %	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL_INDV:CS202210140_1	HumanBrain 0001 - CS202210140_1	Bcell_0	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_463		CS202210140_1	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Bcell_0		HumanBrain 0001			Kimberly Siletti	10.1126/science.add7046			CL:0000236			
PCL_INDV:CS202210140_2	HumanBrain 0002 - CS202210140_2	Tcell_1	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_463		CS202210140_2	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Tcell_1		HumanBrain 0002			Kimberly Siletti	10.1126/science.add7046			CL:0000084			
PCL_INDV:CS202210140_3	HumanBrain 0003 - CS202210140_3	Nkcell_2	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_463		CS202210140_3	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Nkcell_2		HumanBrain 0003			Kimberly Siletti	10.1126/science.add7046			CL:0000623			
PCL_INDV:CS202210140_4	HumanBrain 0004 - CS202210140_4	Mono_3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_463		CS202210140_4	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Mono_3		HumanBrain 0004			Kimberly Siletti	10.1126/science.add7046			CL:0000576			
PCL_INDV:CS202210140_5	HumanBrain 0005 - CS202210140_5	Mgl_4	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_464		CS202210140_5	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Mgl_4		HumanBrain 0005			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051005				
PCL_INDV:CS202210140_6	HumanBrain 0006 - CS202210140_6	Mgl_5	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_464		CS202210140_6	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Mgl_5		HumanBrain 0006			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051006				
PCL_INDV:CS202210140_7	HumanBrain 0007 - CS202210140_7	Mgl_6	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_464		CS202210140_7	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Mgl_6		HumanBrain 0007			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051007				
PCL_INDV:CS202210140_8	HumanBrain 0008 - CS202210140_8	Mgl_7	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_464		CS202210140_8	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Mgl_7		HumanBrain 0008			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051008				
PCL_INDV:CS202210140_9	HumanBrain 0009 - CS202210140_9	Mgl_8	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_464		CS202210140_9	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Mgl_8		HumanBrain 0009			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051009				
PCL_INDV:CS202210140_10	HumanBrain 0010 - CS202210140_10	Mgl_9	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_464		CS202210140_10	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Mgl_9		HumanBrain 0010			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051010				
PCL_INDV:CS202210140_11	HumanBrain 0011 - CS202210140_11	Mgl_10	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_464		CS202210140_11	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Mgl_10		HumanBrain 0011			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051011				
PCL_INDV:CS202210140_12	HumanBrain 0012 - CS202210140_12	Mgl_11	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_464		CS202210140_12	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		Mgl_11		HumanBrain 0012			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051012				
